vintage,max_observed_mob,status,original_accounts,original_balance,average_outstanding_balance,observed_rate_original_balance,ultimate_rate_original_balance_chain_ladder,ultimate_rate_original_balance_scaled_average,observed_rate_average_outstanding,ultimate_rate_average_outstanding_chain_ladder,ultimate_rate_average_outstanding_scaled_average,realized_rate_original_balance,realized_rate_average_outstanding,era,error_chain_ladder,absolute_error_chain_ladder,absolute_percentage_error_chain_ladder,error_scaled_average,absolute_error_scaled_average,absolute_percentage_error_scaled_average
2009-Q1,117,Projected,343,149955000.0,92977082.69796611,0.017352411723517057,0.017439563576917498,0.017438368354062525,0.027986260963390297,0.02812682093577744,0.028401025831480207,0.017352411723517057,0.028263280380910465,2008-2010,8.715185340044118e-05,8.715185340044118e-05,0.005022463435576947,8.595663054546815e-05,8.595663054546815e-05,0.0049535840847399
2009-Q2,114,Projected,338,150490000.0,94664721.82086957,0.0087030624626221,0.008904767421188663,0.008907251141884915,0.013835395539199285,0.01415604909028795,0.014510538140019581,0.0087030624626221,0.01420775520553004,2008-2010,0.0002017049585665634,0.0002017049585665634,0.023176319764777693,0.00020418867926281538,0.00020418867926281538,0.023461704444816364
2009-Q3,111,Projected,311,137015000.0,85716637.56321429,0.009153986862752254,0.009550405725922657,0.009545359609977343,0.014632322798185222,0.015265984267899739,0.01586415186059621,0.009153986862752254,0.015218619119213949,2008-2010,0.0003964188631704023,0.0003964188631704023,0.04330559668852466,0.0003913727472250883,0.0003913727472250883,0.04275434879829153
2009-Q4,108,Projected,324,144560000.0,94071007.63853212,0.004293764250138351,0.004523188436927591,0.0045196311123414,0.006598276935493933,0.006950835723528726,0.007327726324180246,0.004293764250138351,0.00698793354114297,2008-2010,0.0002294241867892401,0.0002294241867892401,0.05343194768596057,0.00022586686220304845,0.00022586686220304845,0.052603461448953726
2010-Q1,105,Projected,353,151015000.0,97933764.46849057,0.007289403436744694,0.007813188818304912,0.007808173189380566,0.011240344593862486,0.01204802772363502,0.012886848004681829,0.007597778962354734,0.012583521350914308,2008-2010,0.00021540985595017853,0.00021540985595017853,0.02835168764680907,0.0002103942270258322,0.0002103942270258322,0.02769154355085713
2010-Q2,102,Projected,333,154990000.0,103256372.27718446,0.008263308923156333,0.009006869473382596,0.008999727751822154,0.012403401569851494,0.013519501691693879,0.014667110152966841,0.008473985999096717,0.013752815033869333,2008-2010,0.0005328834742858793,0.0005328834742858793,0.06288463001268611,0.0005257417527254372,0.0005257417527254372,0.062041848167023
2010-Q3,99,Projected,322,140735000.0,99615087.4998,0.004812913347781291,0.005311918108092164,0.00530895035961541,0.006799626211253992,0.007504614147368506,0.008261539107700491,0.004812913347781291,0.0074812071393251306,2008-2010,0.0004990047603108732,0.0004990047603108732,0.10368039568817707,0.0004960370118341191,0.0004960370118341191,0.10306377364196422
2010-Q4,96,Projected,352,154370000.0,108031475.45144331,0.002805299151389519,0.0031487971224576734,0.0031459543881839497,0.0040085912757402255,0.004499427687741506,0.005022158200473816,0.0029796972209626222,0.004761720595809687,2008-2010,0.00016909990149505116,0.00016909990149505116,0.05675069946886136,0.00016625716722132745,0.00016625716722132745,0.055796664859665286
2011-Q1,93,Projected,344,154865000.0,108818276.24446811,0.002792329448229103,0.0032025713748442463,0.00320186591514562,0.003973910586752042,0.004557747403120319,0.00516137621720374,0.006476025893520163,0.010386737941550359,2011+,-0.0032734545186759167,0.0032734545186759167,0.5054727347448221,-0.0032741599783745433,0.0032741599783745433,0.5055816687902113
2011-Q2,90,Projected,344,149760000.0,112749063.56692308,0.00537058453525641,0.006260480957529593,0.006259054142155474,0.007133529224591761,0.008315542484688842,0.009549409989603564,0.008893952390491454,0.013545804073910461,2011+,-0.002633471432961861,0.002633471432961861,0.2960968664254726,-0.0026348982483359795,0.0026348982483359795,0.29625729176973736
