vintage_year,scenario,quarter,unemployment_rate,house_price_index,source_url
2019,historical,2018Q1,4.1,199,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,historical,2018Q2,3.9,202,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,historical,2018Q3,3.8,204,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,historical,2018Q4,3.8,205,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2019Q1,3.7,207,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2019Q2,3.6,208,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2019Q3,3.6,209,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2019Q4,3.6,210,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2020Q1,3.6,212,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2020Q2,3.6,213,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2020Q3,3.7,214,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2020Q4,3.8,216,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2021Q1,3.9,217,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2021Q2,4.0,219,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2021Q3,4.0,221,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2021Q4,4.0,222,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,baseline,2022Q1,4.1,224,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2019Q1,4.3,201,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2019Q2,5.1,198,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2019Q3,5.7,194,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2019Q4,6.2,190,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2020Q1,6.6,185,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2020Q2,6.8,181,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2020Q3,7.0,178,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2020Q4,7.0,176,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2021Q1,6.9,176,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2021Q2,6.7,178,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2021Q3,6.6,179,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2021Q4,6.4,182,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,adverse,2022Q1,6.3,184,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2019Q1,4.7,199,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2019Q2,6.3,193,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2019Q3,7.5,186,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2019Q4,8.4,178,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2020Q1,9.2,170,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2020Q2,9.7,163,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2020Q3,10.0,156,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2020Q4,9.9,152,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2021Q1,9.7,151,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2021Q2,9.5,153,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2021Q3,9.2,154,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2021Q4,8.9,157,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
2019,severely_adverse,2022Q1,8.6,160,https://www.federalreserve.gov/publications/june-2019-appendix-a-supervisory-scenarios.htm
